ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"69.163.163.6","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","37884","socks5","50","1","2023-04-07T22:09:21.135Z","100","1396","1396"
"149.20.253.80","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","65","2","2023-04-07T22:09:17.009Z","100","1382","1383"
"38.127.179.121","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","50","1","2023-04-07T22:09:14.732Z","100","1355","1358"
"47.90.200.204","elite","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","19527","socks5","77","1","2023-04-07T22:09:14.027Z","89","1207","1352"
"159.89.228.253","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","38172","socks4","95","1","2023-04-07T22:09:14.478Z","100","1411","1416"
"38.83.108.16","elite","AS63199","US","Cogent Communications","112","CDS Global Cloud Co., Ltd","5678","socks4","136","1","2023-04-07T22:09:13.925Z","100","1410","1413"
"50.237.206.174","elite","AS7922","US","Comcast Cable Communications, LLC","97","Comcast Cable Communications, LLC","64312","socks4","95","1","2023-04-07T22:09:12.340Z","100","1414","1416"
"192.111.135.18","elite","AS46562","US","Total Server Solutions L.L.C.","133","Assima Inc","18301","socks4","76","1","2023-04-07T22:09:10.211Z","97","1288","1323"
"38.127.179.236","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","57","1","2023-04-07T22:09:09.966Z","100","1331","1332"
"70.185.95.162","elite","AS22773","US","Cox Communications Inc.","123","Cox Communications Inc.","39593","socks4","207","1","2023-04-07T22:09:09.177Z","98","1390","1415"
"38.127.173.250","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks4","211","1","2023-04-07T22:09:09.479Z","100","1326","1327"
